time/total_timesteps,rollout/ep_len_mean,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,lilac/dec_loss,lilac/beta,lilac/kl,lilac/loss,plugin/constraint_as/risk,plugin/constraint_as/s_env,lilac/cp_flag,lilac/cp_cooldown,lilac/cp_delta,lilac/s_env,lilac/risk,lilac/s_uncert,plugin/constraint_as/raw,lilac/cp_kl,plugin/constraint_as/s_agent,plugin/constraint_as/unsafe
60,60.0,1,1,6.788136,45,,,,,,,,,,,,,,,,
120,60.0,1,2,4.3540225,91,,,,,,,,,,,,,,,,
180,60.0,1,3,3.857179,98,,,,,,,,,,,,,,,,
240,60.0,2,4,4.80399525,106,0.0011829206487163901,0.0008,0.00759116793051362,0.001188993570394814,,,,,,,,,,,,
300,60.0,2,5,3.8431962,113,,,,,0.5,0.0,0.0,0.0,0.06977938115596771,0.0,0.509184220702025,0.7348203063011169,0.0,0.00847923755645752,0.0,0.0
360,60.0,2,6,4.162980999999999,134,,,,,0.5,0.0,1.0,2.0,0.003960081841796637,0.0,0.510340510917015,0.8273588418960571,0.0,44.47078323364258,0.0,0.0
420,60.0,2,7,3.5682694285714285,153,0.0013837995938956738,0.0016,14.828295707702637,0.025109073147177696,0.5,0.0,1.0,2.0,0.05596382915973663,0.0,0.5115381063996365,0.9232124090194702,0.0,32.29975128173828,0.0,0.0
480,60.0,2,8,4.6880556250000005,172,,,,,0.5,0.0,1.0,2.0,0.0052467151544988155,0.0,0.5127581672550725,1.0208749771118164,0.0,24.519237518310547,0.0,0.0
540,60.0,2,9,6.414086222222222,192,,,,,0.5,0.0,1.0,2.0,0.0056119137443602085,0.0,0.5139542230660218,1.116627812385559,0.0,18.373449325561523,0.0,0.0
600,60.0,2,10,6.1558522,211,0.20898596942424774,0.0024000000000000002,22.344104766845703,0.26261183619499207,0.5,0.0,1.0,2.0,0.006590694654732943,0.0,0.5150962455751295,1.2080668210983276,0.0,14.183984756469727,0.0,0.0
660,60.0,2,11,5.769966636363637,231,,,,,0.5,0.0,1.0,2.0,0.043982550501823425,0.0,0.5161279886329535,1.290686845779419,0.0,10.81748104095459,0.0,0.0
720,60.0,3,12,5.77432125,239,,,,,0.5,0.0,1.0,2.0,0.007289415691047907,0.0,0.5170622205255546,1.3655078411102295,0.0,8.873390197753906,0.0,0.0
780,60.0,3,13,5.844672615384615,246,,,,,0.5,0.0,1.0,2.0,0.02244320511817932,0.0,0.5178160609376775,1.4258885383605957,0.0,6.9265546798706055,0.0,0.0
840,60.0,3,14,5.632184642857142,253,0.00397612014785409,0.0032,8.872474670410156,0.03236803784966469,0.5,0.0,1.0,2.0,0.09958422183990479,0.0,0.5184952843738749,1.4802981615066528,0.0,6.193079948425293,0.0,0.0
900,60.0,3,15,5.4478168,260,,,,,0.5,0.0,1.0,2.0,0.01880665309727192,0.0,0.5189910427277231,1.5200146436691284,0.0,5.079813003540039,0.0,0.0
960,60.0,3,16,6.244192312499999,271,,,,,0.5,0.0,1.0,2.0,0.01185353472828865,0.0,0.5194470319476369,1.55654776096344,0.0,4.827838897705078,0.0,0.0
1020,60.0,3,17,6.327482235294117,278,0.0007674501393921673,0.004,5.366910457611084,0.022235093638300896,0.5,0.0,1.0,2.0,0.06297170370817184,0.0,0.5197378487737175,1.5798488855361938,0.0,4.142991542816162,0.0,0.0
1080,60.0,3,18,6.350642222222222,286,,,,,0.5,0.0,1.0,2.0,0.014771020971238613,0.0,0.5200269919236021,1.603016972541809,0.0,4.097927093505859,0.0,0.0
1140,60.0,3,19,6.218068736842104,293,,,,,0.5,0.0,0.0,1.0,0.024685267359018326,0.0,0.5063755163499959,0.510068953037262,0.0,3.542205810546875,0.0,0.0
1200,60.0,3,20,6.4352734499999995,301,0.002642114879563451,0.0048000000000000004,29.0466365814209,0.14206597208976746,0.5,0.0,1.0,2.0,0.0019661406986415386,0.0,0.5072980830716441,0.5838881134986877,0.0,104.4034194946289,0.0,0.0
1260,60.0,4,21,7.001849095238095,308,,,,,0.5,0.0,1.0,2.0,0.06344041228294373,0.0,0.5083038331265473,0.6643677353858948,0.0,71.9765396118164,0.0,0.0
1320,60.0,4,22,6.857638909090909,316,,,,,0.5,0.0,1.0,2.0,0.0032713343389332294,0.0,0.5094015088532934,0.7522093653678894,0.0,56.27066421508789,0.0,0.0
1380,60.0,4,23,6.726216391304348,325,,,,,0.5,0.0,1.0,2.0,0.007109647151082754,0.0,0.5105527605123672,0.8443462252616882,0.0,39.6584587097168,0.0,0.0
1440,60.0,4,24,6.606299541666666,332,0.0014386456459760666,0.005600000000000001,55.96855545043945,0.31486254930496216,0.5,0.0,1.0,2.0,0.09999893605709076,0.0,0.5117573279873714,0.9407596588134766,0.0,30.75958251953125,0.0,0.0
1500,60.0,4,25,6.34204756,339,,,,,0.5,0.0,1.0,2.0,0.013334127143025398,0.0,0.5129291390672788,1.0345617532730103,0.0,21.16737937927246,0.0,0.0
1560,60.0,4,26,6.355631807692307,347,,,,,0.5,0.0,1.0,2.0,0.008165900595486164,0.0,0.5141151836580988,1.1295148134231567,0.0,17.567779541015625,0.0,0.0
1620,60.0,4,27,6.368521777777778,391,0.0008003797265700996,0.0064,23.164915084838867,0.1490558385848999,0.5,0.0,1.0,2.0,0.06708528101444244,0.0,0.5151818159496628,1.2149187326431274,0.0,12.486015319824219,0.0,0.0
1680,60.0,3,28,6.243682285714286,435,,,,,0.5,0.0,1.0,2.0,0.010455549694597721,0.0,0.5162096940855121,1.2972301244735718,0.0,10.691707611083984,0.0,0.0
1740,60.0,3,29,6.391220137931034,479,,,,,0.5,0.0,1.0,2.0,0.023777903988957405,0.0,0.516970622015159,1.3581714630126953,0.0,7.29625940322876,0.0,0.0
1800,60.0,3,30,6.403343899999999,524,0.0019099086057394743,0.0072,9.445694923400879,0.0699189156293869,0.5,0.0,1.0,2.0,0.013695171102881432,0.0,0.5177733740731396,1.4224692583084106,0.0,7.308798789978027,0.0,0.0
1860,60.0,3,31,6.382242677419354,570,,,,,0.5,0.0,1.0,2.0,0.08299698680639267,0.0,0.5182312318404868,1.459145426750183,0.0,5.010717868804932,0.0,0.0
1920,60.0,3,32,6.2720833124999995,615,,,,,0.5,0.0,1.0,2.0,0.01757277175784111,0.0,0.5188167742612889,1.5060532093048096,0.0,5.576586723327637,0.0,0.0
1980,60.0,2,33,6.314594606060606,661,,,,,0.5,0.0,1.0,2.0,0.01922866329550743,0.0,0.5191488724015315,1.5326594114303589,0.0,4.3263726234436035,0.0,0.0
2040,60.0,2,34,6.663325029411764,707,0.0003073941625189036,0.008,4.971225738525391,0.040077198296785355,0.5,0.0,1.0,2.0,0.07592454552650452,0.0,0.5195460870790337,1.5644842386245728,0.0,4.563525199890137,0.0,0.0
2100,60.0,2,35,6.801107571428571,754,,,,,0.5,0.0,0.0,1.0,0.029018323868513107,0.0,0.5062093086777892,0.4967702329158783,0.0,3.4228320121765137,0.0,0.0
2160,60.0,2,36,6.798431305555555,798,,,,,0.5,0.0,1.0,2.0,0.0025916025042533875,0.0,0.5071126073576875,0.5690469741821289,0.0,109.68389892578125,0.0,0.0
2220,60.0,2,37,6.770261189189188,842,0.000205117161385715,0.0088,39.223419189453125,0.34537121653556824,0.5,0.0,1.0,2.0,0.0852581188082695,0.0,0.5080898727202567,0.6472463011741638,0.0,70.58285522460938,0.0,0.0
2280,60.0,2,38,6.744608052631579,889,,,,,0.5,0.0,1.0,2.0,0.004286352079361677,0.0,0.5091693528630121,0.7336304783821106,0.0,59.25536346435547,0.0,0.0
2340,60.0,2,39,6.7924249743589735,935,,,,,0.5,0.0,1.0,2.0,0.009174151346087456,0.0,0.5102692331892629,0.821654200553894,0.0,36.69357681274414,0.0,0.0
2400,60.0,2,40,6.815630225000001,979,0.0019957192707806826,0.009600000000000001,49.81170654296875,0.48018813133239746,0.5,0.0,1.0,2.0,0.006900579668581486,0.0,0.5114630591735452,0.9172054529190063,0.0,32.715023040771484,0.0,0.0
2460,60.0,2,41,6.905700902439026,1023,,,,,0.5,0.0,1.0,2.0,0.08963079005479813,0.0,0.5125803497107715,1.0066404342651367,0.0,20.083402633666992,0.0,0.0
2520,60.0,2,42,6.923214452380954,1069,,,,,0.5,0.0,1.0,2.0,0.010243657976388931,0.0,0.5137704140979706,1.1019117832183838,0.0,18.75809097290039,0.0,0.0
2580,60.0,2,43,7.075047534883723,1112,,,,,0.5,0.0,1.0,2.0,0.02137649618089199,0.0,0.5147173511013808,1.177728295326233,0.0,10.967638969421387,0.0,0.0
2640,60.0,2,44,6.97954681818182,1156,0.00015591313422191888,0.0104,16.603042602539062,0.1728275567293167,0.5,0.0,1.0,2.0,0.13112248480319977,0.0,0.5157770141506234,1.2625802755355835,0.0,11.645588874816895,0.0,0.0
2700,60.0,2,45,7.017639800000002,1205,,,,,0.5,0.0,1.0,2.0,0.023581571877002716,0.0,0.5164322707569856,1.315055251121521,0.0,6.61710786819458,0.0,0.0
2760,60.0,2,46,6.989996152173916,1251,,,,,0.5,0.0,1.0,2.0,0.019507719203829765,0.0,0.5172965221456838,1.3842741250991821,0.0,8.066823959350586,0.0,0.0
2820,60.0,2,47,6.902400829787237,1297,0.00045526717440225184,0.011200000000000002,8.776506423950195,0.09875213354825974,0.5,0.0,1.0,2.0,0.10694773495197296,0.0,0.5176880605847344,1.415635585784912,0.0,4.735900402069092,0.0,0.0
2880,60.0,2,48,6.9180584791666675,1340,,,,,0.5,0.0,1.0,2.0,0.0219440795481205,0.0,0.5183522712042399,1.468841552734375,0.0,6.150803565979004,0.0,0.0
2940,60.0,2,49,6.87463842857143,1360,,,,,0.5,0.0,0.0,1.0,0.025072365999221802,0.0,0.5058489820978196,0.46793991327285767,0.0,3.6275429725646973,0.0,0.0
3000,60.0,2,50,6.794542480000001,1379,0.00026721408357843757,0.012,34.71601486206055,0.41685938835144043,0.5,0.0,1.0,2.0,0.0029621056746691465,0.0,0.5067106329936943,0.5368828773498535,0.0,124.34981536865234,0.0,0.0
