time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,lilac/dec_loss,lilac/loss,lilac/beta,lilac/kl,lilac/cp_flag,lilac/cp_cooldown,lilac/cp_kl,lilac/s_env,lilac/risk,lilac/cp_delta,lilac/s_uncert
1,19,3.822222,60.0,3,60,,,,,,,,,,,
2,38,4.308892999999999,60.0,3,120,,,,,,,,,,,
3,61,6.379975333333333,60.0,2,180,,,,,,,,,,,
4,84,5.740537,60.0,2,240,0.3355490267276764,0.3355591595172882,0.0008,0.01266042422503233,,,,,,,
5,104,4.973382,60.0,2,300,,,,,0.0,0.0,0.013668060302734375,0.0,0.5092087129027393,0.09001172333955765,0.7367803454399109
6,124,5.584147333333334,60.0,2,360,,,,,1.0,2.0,44.521697998046875,0.0,0.5103685182989504,0.0030283438973128796,0.8296003937721252
7,143,4.786412,60.0,2,420,0.0024555753916502,0.026212049648165703,0.0016,14.847796440124512,1.0,2.0,33.06582260131836,0.0,0.5115777275212584,0.04065223038196564,0.9263837933540344
8,164,4.426999374999999,60.0,2,480,,,,,1.0,2.0,24.516952514648438,0.0,0.5128021624834612,0.00410363357514143,1.0243968963623047
9,183,4.679378666666667,60.0,2,540,,,,,1.0,2.0,19.390239715576172,0.0,0.5140282461818652,0.02133721299469471,1.1225543022155762
10,202,4.5933456,60.0,2,600,0.0023824183735996485,0.05702792480587959,0.0024000000000000002,22.768959045410156,1.0,2.0,14.10282039642334,0.0,0.5151728596710715,0.0038277553394436836,1.21420156955719
11,223,5.048380909090909,60.0,2,660,,,,,1.0,2.0,10.878674507141113,0.0,0.5162125535894976,0.028325188905000687,1.2974591255187988
12,242,5.427158416666667,60.0,2,720,,,,,1.0,2.0,8.820087432861328,0.0,0.5171467704907938,0.00486863125115633,1.3722797632217407
13,261,5.083189,60.0,2,780,,,,,1.0,2.0,7.125641345977783,0.0,0.5179354184758482,0.00852313730865717,1.4354493618011475
14,280,5.610580285714286,60.0,2,840,0.3142089545726776,0.3428216576576233,0.0032,8.94146728515625,1.0,2.0,6.119067192077637,0.0,0.5186074487462525,0.03714313358068466,1.4892836809158325
15,299,5.2365416,60.0,3,900,,,,,1.0,2.0,5.105165004730225,0.0,0.5191137318512947,0.013804585672914982,1.529844045639038
16,320,5.388273,60.0,2,960,,,,,1.0,2.0,4.770259857177734,0.0,0.5195601277995452,0.006096364464610815,1.5656092166900635
17,340,5.354132294117647,60.0,2,1020,0.0009872240480035543,0.02231321483850479,0.004,5.3314971923828125,1.0,2.0,4.198986053466797,0.0,0.5198729062941082,0.041003502905368805,1.5906704664230347
18,358,5.428461777777778,60.0,3,1080,,,,,1.0,2.0,4.041234493255615,0.0,0.5201482344185967,0.009488390758633614,1.6127320528030396
19,379,5.494298789473684,60.0,3,1140,,,,,0.0,1.0,3.5239830017089844,0.0,0.5064136325003316,0.0167775247246027,0.5131187438964844
20,399,5.65069495,60.0,3,1200,0.0008372879819944501,0.1396055966615677,0.0048000000000000004,28.910062789916992,1.0,2.0,103.87604522705078,0.0,0.5073411486270477,0.0014661368913948536,0.5873340964317322
21,419,5.657040476190477,60.0,3,1260,,,,,1.0,2.0,73.3845443725586,0.0,0.5083550759159687,0.05020086094737053,0.6684682965278625
22,440,5.881835727272729,60.0,2,1320,,,,,1.0,2.0,55.93292236328125,0.0,0.5094581764325699,0.0025847996585071087,0.756744384765625
23,459,5.793805608695654,60.0,3,1380,,,,,1.0,2.0,39.9180908203125,0.0,0.5106161849471659,0.01412198692560196,0.8494224548339844
24,479,5.751867958333334,60.0,3,1440,0.0030777810607105494,0.31898415088653564,0.005600000000000001,56.4118537902832,1.0,2.0,30.570363998413086,0.0,0.5118254003356832,0.19565260410308838,0.9462084770202637
25,499,5.981348800000001,60.0,3,1500,,,,,1.0,2.0,21.247150421142578,0.0,0.5130070539652847,0.010982661508023739,1.0407991409301758
26,519,5.935423923076924,60.0,3,1560,,,,,1.0,2.0,17.448101043701172,0.0,0.5141957224148631,0.007540970109403133,1.1359630823135376
27,538,5.857164037037038,60.0,3,1620,0.005321831908077002,0.15308846533298492,0.0064,23.088537216186523,1.0,2.0,12.077877044677734,0.0,0.5152391055313575,0.08011475205421448,1.2195061445236206
28,557,5.750360571428573,60.0,3,1680,,,,,1.0,2.0,10.694381713867188,0.0,0.5162694070363365,0.012612832710146904,1.3020122051239014
29,577,5.619505241379311,60.0,3,1740,,,,,1.0,2.0,7.5535688400268555,0.0,0.5170686071652636,0.013812467455863953,1.366019368171692
30,596,5.849971200000001,60.0,3,1800,0.002999837277457118,0.07065018266439438,0.0072,9.395881652832031,1.0,2.0,7.257698059082031,0.0,0.5178673732316856,0.015210858546197414,1.429998755455017
31,615,5.877750741935484,60.0,3,1860,,,,,1.0,2.0,5.3078718185424805,0.0,0.5183861940432436,0.08919782936573029,1.4715590476989746
32,634,5.84605996875,60.0,3,1920,,,,,1.0,2.0,5.474660873413086,0.0,0.5189549579550774,0.019139505922794342,1.5171236991882324
33,653,5.814404787878787,60.0,3,1980,,,,,1.0,2.0,4.119154930114746,0.0,0.5192296903350314,0.034807220101356506,1.5391343832015991
34,674,5.699602029411764,60.0,3,2040,0.006273220758885145,0.046011053025722504,0.008,4.967228889465332,1.0,2.0,4.562036514282227,0.0,0.5196226627131533,0.13492514193058014,1.5706197023391724
35,693,5.618751714285714,60.0,3,2100,,,,,0.0,1.0,3.5854597091674805,0.0,0.506251790133703,0.014457255601882935,0.5001692771911621
36,712,5.64865411111111,60.0,3,2160,,,,,1.0,2.0,108.85923767089844,0.0,0.5071604288508083,0.0024720088113099337,0.5728734731674194
37,733,5.625202702702703,60.0,3,2220,0.0029691660311073065,0.3461889326572418,0.0088,39.00224685668945,1.0,2.0,68.18386840820312,0.0,0.5081382529869126,0.08475003391504288,0.651117742061615
38,753,5.628967210526316,60.0,3,2280,,,,,1.0,2.0,58.8968505859375,0.0,0.5092227316215062,0.004305839538574219,0.7379022240638733
39,773,5.805921230769231,60.0,3,2340,,,,,1.0,2.0,37.12214660644531,0.0,0.5103332080003025,0.007365787401795387,0.8267743587493896
40,793,5.8284124,60.0,3,2400,0.0019400391029193997,0.4739826023578644,0.009600000000000001,49.17109680175781,1.0,2.0,32.48152160644531,0.0,0.5115313969991764,0.006922788918018341,0.922675371170044
41,812,5.89687812195122,60.0,3,2460,,,,,1.0,2.0,21.103313446044922,0.0,0.5126805824453775,0.08381882309913635,1.0146641731262207
42,831,6.007072714285714,60.0,3,2520,,,,,1.0,2.0,18.507917404174805,0.0,0.5138718864270717,0.009689589031040668,1.11003577709198
43,851,6.089890883720931,60.0,3,2580,,,,,1.0,2.0,12.336487770080566,0.0,0.5149119948725759,0.01085597649216652,1.193313479423523
44,870,6.038901477272728,60.0,3,2640,0.0006560636102221906,0.18074147403240204,0.0104,17.31590461730957,1.0,2.0,11.271034240722656,0.0,0.5159602448156292,0.06485679000616074,1.27725350856781
45,889,6.012042933333334,60.0,3,2700,,,,,1.0,2.0,6.5668134689331055,0.0,0.516604408643633,0.03899393230676651,1.3288413286209106
46,908,5.9437341956521745,60.0,3,2760,,,,,1.0,2.0,7.867736339569092,0.0,0.5174526465764262,0.018405301496386528,1.396779179573059
47,928,5.960128914893618,60.0,3,2820,0.002905256114900112,0.09887276589870453,0.011200000000000002,8.568528175354004,1.0,2.0,4.78148078918457,0.0,0.5178581031449994,0.10118454694747925,1.4292562007904053
48,947,5.855933104166667,60.0,3,2880,,,,,1.0,2.0,6.004168510437012,0.0,0.5185018170295783,0.020941823720932007,1.4808214902877808
49,967,5.736424265306122,60.0,3,2940,,,,,0.0,1.0,3.5262436866760254,0.0,0.5058873305411866,0.030113423243165016,0.47100821137428284
50,987,5.8710926,60.0,3,3000,0.00070294359466061,0.41404199600219727,0.012,34.44491958618164,1.0,2.0,123.46778869628906,0.0,0.5067538742831537,0.0029983932618051767,0.5403428077697754
